#Feature ID	taxonomy	Confidence
9f3f4edd2f06b24d14788194b5f9f338	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__mouse_gut_metagenome;D_6__mouse_gut_metagenome	0.9592646657183477
a60a711df3a6193eb7ee1caecfa83f48	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Akkermansiaceae;D_5__Akkermansia	0.9999999978355056
7ddbdd347d1da50be603874a37cb68c8	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__mouse_gut_metagenome;D_6__mouse_gut_metagenome	0.8832103211945154
cb6b69a06594366a4ea23e4692bcf149	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae_UCG-001;D_6__uncultured_bacterium	0.7972864270914326
dc7a88601983ce5c366c908e02b7e24a	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Muribaculaceae;D_5__uncultured_bacterium;D_6__uncultured_bacterium	0.912306604969021
131aa728b2470d5e3dcfd7847a606c81	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus_johnsonii	0.7890086962012696
89acd7ae7ddb64ead24ebf8bfb4c6ed5	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotellaceae_UCG-001;D_6__uncultured_bacterium	0.8050612339190983
05284f3ed4d961b91269b4257d52bcad	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae	0.9999980816279282
14fe55bfb55953a4defc3768fb5a096e	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae_1;D_5__Clostridium_sensu_stricto_1	0.9159582270074895
20f01ebfa67a685583af9d6249b7ac6c	D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales;D_4__Erysipelotrichaceae;D_5__Turicibacter;D_6__uncultured_bacterium	0.7084005475447929
ce3dd9116726950529d3c1a984023489	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae;D_5__Odoribacter;D_6__uncultured_bacterium	0.9986442917742027
bdef9c4a47618db81f54d189561a5ca4	D_0__Bacteria	0.9999885808381315
